"prime","target","RT.200SOA","RT.1200SOA","obs.200SOA","obs.1200SOA","primecond","rel","t_length","t_freq","t_logfreq","t_orthoN","t_bgmean","t_POS","relation","FAS","LSA","BEAGLE_RPs","BEAGLE_PMI","p_freq","p_logfreq","p_length","p_orthoN","p_bgsum","p_bgmean","p_POS"
"NATURE","dishes",621.354838709677,737.71875,31,32,4,0,6,11.86,2.78,4,2433.8,"NN|VB",NA,NA,NA,0.026269223,0.061772933,6,45.16,3.36,1,12243,2448.6,"NN"
"NAUSEA","vomit",612.466666666667,732.290322580645,30,31,2,1,5,5.33,2.44,0,1258,"VB|NN","script",0.247,0.23,0.2511718,214.8077359,6,2.16,2.05,0,7209,1441.8,"NN"
"NAUSEA","shine",733.15625,717.793103448276,32,29,4,0,5,20.65,3.02,8,2887.75,"VB|NN",NA,NA,NA,0.080258322,0.028049172,6,2.16,2.05,0,7209,1441.8,"NN"
"NAUSEOUS","pill",737.548387096774,638.625,31,32,4,0,4,11.82,2.78,14,1290,"NN",NA,NA,NA,0.045653206,0.217955302,8,3.1,2.2,0,8779,1254.14,"JJ"
"NAUSEOUS","stomach",612.28125,664.46875,32,32,2,1,7,33.82,3.24,0,1801.5,"NN|VB","unclassified",0.02,0.18,0.011789124,5.097723357,8,3.1,2.2,0,8779,1254.14,"JJ"
"NAVIGATOR","pilot",665.633333333333,655.58064516129,30,31,1,1,5,26.67,3.13,1,1156.75,"NN|VB","category",0.187,0.2,0.043763032,2.392472433,2.69,2.14,9,0,12310,1538.75,"NN"
"NAVIGATOR","often",612.78125,738.642857142857,32,28,3,0,5,57.35,3.47,0,2142.75,"RB",NA,NA,NA,0.102929251,0.016359299,2.69,2.14,9,0,12310,1538.75,"NN"
"NECESSARY","catholic",804.096774193548,700.032258064516,31,31,3,0,8,12.47,2.8,0,2119.86,"NN|JJ",NA,NA,NA,0.061065928,0.03843664,45.98,3.37,9,0,15604,1950.5,"JJ|NN"
"NECESSARY","need",628.7,608.366666666667,30,30,1,1,4,1294.9,4.82,7,2543.33,"NN|VB","synonym",0.473,0.39,0.378746077,0.279682345,45.98,3.37,9,0,15604,1950.5,"JJ|NN"
"NECK","novice",794.36,778.478260869565,25,23,4,0,6,0.8,1.62,1,1206.2,"NN",NA,NA,NA,0.049104456,0.105033303,4,59.51,3.48,5,4519,1506.33,"NN|VB"
"NECK","collar",731.483870967742,810.41935483871,31,31,2,1,6,10.51,2.73,2,2074.4,"NN|VB","unclassified",0.036,0.42,0.089628734,5.715438611,4,59.51,3.48,5,4519,1506.33,"NN|VB"
"NECKLACE","gold",554.878787878788,619.1875,33,32,1,1,4,78.94,3.61,11,662.67,"NN|JJ","bpa",0.217,0.36,0.083196936,0.770283142,9.75,2.7,8,0,9771,1395.86,"NN"
"NECKLACE","hammer",723.709677419355,741.066666666667,31,30,3,0,6,12.47,2.8,2,2075,"NN|VB",NA,NA,NA,0.066147943,0.046265112,9.75,2.7,8,0,9771,1395.86,"NN"
"NEEDLE","thread",622.566666666667,707.548387096774,30,31,1,1,6,5.16,2.42,1,1796.2,"NN|VB","fpa",0.424,0.14,0.087190357,3.727098562,11.92,2.78,6,0,11358,2271.6,"NN|VB"
"NEEDLE","rare",676.8125,738.677419354839,32,31,3,0,4,21.31,3.04,16,3539,"JJ",NA,NA,NA,0.156484465,0.206929211,11.92,2.78,6,0,11358,2271.6,"NN|VB"
"NEEDY","child",621,634.464285714286,31,28,2,1,5,157.65,3.91,3,1091,"NN","perceptual property",0.014,0.15,0.150158672,0.703835702,5,3.04,2.19,3,7780,1945,"JJ"
"NEEDY","wednesday",673.709677419355,675.3125,31,32,4,0,9,18.27,2.97,0,1597.63,"NN",NA,NA,NA,0.036094205,0.027166904,5,3.04,2.19,3,7780,1945,"JJ"
"NEGATIVE","minus",782.068965517241,759.466666666667,29,30,2,1,5,7.86,2.6,6,2501.5,"minor|VB","synonym",0.021,0.37,0.03434516,1.266080186,8,25.65,3.12,0,15055,2150.71,"JJ|NN"
"NEGATIVE","mirror",691,670.454545454545,31,33,4,0,6,24.18,3.09,0,1531.2,"NN|VB",NA,NA,NA,0.008378951,0,8,25.65,3.12,0,15055,2150.71,"JJ|NN"
"NEGOTIATION","agreement",678.870967741935,662.484848484848,31,33,2,1,9,17.49,2.95,0,2066.25,"NN","synonym",0.034,0.44,0.097761047,2.690135599,11,2.29,2.07,0,25944,2594.4,"NN"
"NEGOTIATION","sneeze",712.551724137931,648.379310344828,29,29,4,0,6,2.94,2.18,0,771.2,"VB|NN",NA,NA,NA,0.240240981,1.069999787,11,2.29,2.07,0,25944,2594.4,"NN"
"NEIGHBORHOOD","area",668.741935483871,672.064516129032,31,31,2,1,4,74.92,3.58,3,3107.33,"NN","unclassified",0.047,0.19,0.315679277,0.257005043,12,36.69,3.27,0,10169,924.45,"NN"
"NEIGHBORHOOD","frightened",758.333333333333,753.58064516129,33,31,4,0,10,23.25,3.07,1,2205.78,"VB|JJ",NA,NA,NA,0.042107993,0,12,36.69,3.27,0,10169,924.45,"NN"
"NEPHEW","broken",606.290322580645,735.166666666667,31,30,4,0,6,71.25,3.56,1,1532.2,"VB|JJ",NA,NA,NA,0.010586679,0,6,16.59,2.93,0,5559,1111.8,"NN"
"NEPHEW","uncle",587.59375,692.838709677419,32,31,2,1,5,124.06,3.8,0,1811.75,"NN","category",0.129,0.57,0.119886845,3.315271274,6,16.59,2.93,0,5559,1111.8,"NN"
"NERD","geek",666.032258064516,689.9,31,30,1,1,4,NA,NA,NA,NA,NA,"synonym",0.364,NA,0,164.365549,NA,NA,4,NA,NA,NA,NA
"NERD","west",738.586206896552,622.962962962963,29,27,3,0,4,60.55,3.49,12,2846,"NN|JJ|RB",NA,NA,NA,0.023174629,0.020981297,NA,NA,4,NA,NA,NA,NA
"NERVE","neuron",847.366666666667,697.625,30,32,2,1,6,0.14,0.9,0,2105.4,"NN","category",0.036,0.84,0.364151227,8.150447187,5,22.96,3.07,3,10555,2638.75,"NN"
"NERVE","bear",614.375,735.46875,32,32,4,0,4,57.41,3.47,19,1879.33,"VB|NN",NA,NA,NA,0.060088438,0.014245826,5,22.96,3.07,3,10555,2638.75,"NN"
"NERVES","deaf",676.033333333333,937.857142857143,30,28,4,0,4,14.53,2.87,5,1549.33,"JJ|NN",NA,NA,NA,0.077369073,0.006446084,6,10.96,2.75,1,15044,3008.8,"NN"
"NERVES","ending",684.5625,846.903225806452,32,31,2,1,6,15.92,2.91,0,3653.8,"VB|NN","fpa",0.036,0.1,0.052880164,0.164080837,6,10.96,2.75,1,15044,3008.8,"NN"
"NET","gain",636.161290322581,677.6,31,30,2,1,4,13.73,2.85,9,2809.33,"VB|NN","fpa",0.021,0.18,0.097436727,0.283836412,3,15.55,2.9,14,3629,1814.5,"JJ|NN|VB"
"NET","clipper",746.354838709677,751.75,31,32,4,0,7,1.16,1.78,5,2030.67,"NN",NA,NA,NA,0.007621493,0.040480175,3,15.55,2.9,14,3629,1814.5,"JJ|NN|VB"
"NETWORK","news",594.548387096774,811.6,31,30,2,1,4,164.69,3.92,4,898.67,"NN","bpa",0.047,0.44,0.148934804,0.876050116,7,16.53,2.93,0,7103,1183.83,"NN|VB"
"NETWORK","strap",686.730769230769,736.5,26,28,4,0,5,5.16,2.42,4,2309,"VB|JJ",NA,NA,NA,0.093460688,0.099152145,7,16.53,2.93,0,7103,1183.83,"NN|VB"
"NEUTRON","square",633.066666666667,808.636363636364,30,33,3,0,6,31.76,3.21,1,1716.2,"NN|VB|JJ",NA,NA,NA,0.027794011,0.250452066,1.24,1.81,7,0,11803,1967.17,"NN"
"NEUTRON","atom",734.933333333333,789.466666666667,30,30,1,1,4,2.75,2.15,1,2254.67,"NN","supraordinate",0.233,0.56,0.094610064,8.671799122,1.24,1.81,7,0,11803,1967.17,"NN"
"NEVER","again",619.322580645161,618.121212121212,31,33,2,1,5,792.71,4.61,0,2303,"RB","fpa",0.077,0.55,0.240300346,0.536325888,5,1362.55,4.84,4,10818,2704.5,"RB|NN"
"NEVER","son",603.033333333333,693.129032258065,30,31,4,0,3,410.76,4.32,15,2694,"NN",NA,NA,NA,0.05828332,0.124212285,5,1362.55,4.84,4,10818,2704.5,"RB|NN"
"NEW","shine",703.821428571429,698.84375,28,32,2,1,5,20.65,3.02,8,2887.75,"VB|NN","perceptual property",0.027,0.1,0.023135594,0.08124928,3,723.78,4.57,10,2584,1292,"JJ|NN"
"NEW","hip",669.407407407407,783.9,27,30,4,0,3,15.41,2.9,14,806,"NN",NA,NA,NA,0,0.032465617,3,723.78,4.57,10,2584,1292,"JJ|NN"
"NEWS","paper",665.935483870968,556.833333333333,31,30,1,1,5,103.35,3.72,4,2449,"NN|VB","fpa",0.172,0.2,0.143851267,0.398693926,164.69,3.92,4,4,2696,898.67,"NN"
"NEWS","government",683.2,759.333333333333,30,33,3,0,10,65.24,3.52,0,2011.11,"NN",NA,NA,NA,0.146733466,0.141279085,164.69,3.92,4,4,2696,898.67,"NN"
"NEWSPAPER","have",687.785714285714,797.148148148148,28,27,4,0,4,6161.41,5.5,12,1143,"VB|NN",NA,NA,NA,0.089044933,0.078992287,9,23.69,3.08,0,13321,1665.13,"NN"
"NEWSPAPER","print",626.84375,698.41935483871,32,31,2,1,5,19.96,3.01,2,3532.75,"NN|VB","unclassified",0.076,0.42,0.207918807,0.910969958,9,23.69,3.08,0,13321,1665.13,"NN"
"NEWSSTAND","tonic",710.296296296296,761.666666666667,27,27,4,0,5,3.82,2.29,5,2445.5,"NN",NA,NA,NA,0.093236268,0.075302622,9,1.04,1.73,0,14954,1869.25,"NN"
"NEWSSTAND","magazine",720.833333333333,665.03125,30,32,2,1,8,33.2,3.23,0,1782.43,"NN","script",0.136,0.36,0.022008554,5.247966413,9,1.04,1.73,0,14954,1869.25,"NN"
"NICKEL","five",718.90625,823.806451612903,32,31,2,1,4,285.45,4.16,9,1191.33,"minor|NN","unclassified",0.028,0.19,0.031140756,0.170046543,6,8.45,2.64,1,7384,1476.8,"NN|JJ"
"NICKEL","short",654.78125,707.333333333333,32,30,4,0,5,85.63,3.64,7,1561.5,"JJ|NN|RB|VB",NA,NA,NA,0.054850391,0.159022381,6,8.45,2.64,1,7384,1476.8,"NN|JJ"
"NICOTINE","cigarette",743.8125,706.03125,32,32,1,1,9,26.61,3.13,0,2043.25,"NN","script",0.525,0.92,0.213346751,29.1164642,1.71,1.94,8,0,21135,3019.29,"NN"
"NICOTINE","borrow",737.4375,752.40625,32,32,3,0,6,29.31,3.17,4,1385,"VB",NA,NA,NA,0.106933657,0.059114698,1.71,1.94,8,0,21135,3019.29,"NN"
"NIECE","hunter",708.4,663.586206896552,30,29,3,0,6,18.35,2.97,4,3144.2,"NN",NA,NA,NA,0.084220381,0.089962469,9.53,2.69,5,1,5705,1426.25,"NN"
"NIECE","nephew",663.766666666667,825.9375,30,32,1,1,6,16.59,2.93,0,1111.8,"NN","antonym",0.658,0.52,0.119961989,20.91875157,9.53,2.69,5,1,5705,1426.25,"NN"
"NIGHT","laugh",614.15625,807.666666666667,32,30,3,0,5,62.86,3.51,0,819.75,"NN|VB",NA,NA,NA,0.119987084,0.029546783,866.04,4.65,5,7,3147,786.75,"NN"
"NIGHT","day",561.774193548387,637.612903225806,31,31,1,1,3,801.82,4.61,16,478.5,"NN","antonym",0.686,0.54,0.578402741,0.512803124,866.04,4.65,5,7,3147,786.75,"NN"
"NIGHTGOWN","confess",767.806451612903,762.806451612903,31,31,4,0,7,15.84,2.91,1,2341,"VB",NA,NA,NA,0.056816828,0.024063192,9,1.96,2,0,4374,546.75,"NN"
"NIGHTGOWN","sexy",655.59375,644.1875,32,32,2,1,4,29.98,3.18,0,883.67,"JJ","perceptual property",0.056,-0.01,0.033004918,0,9,1.96,2,0,4374,546.75,"NN"
"NINE","ten",609.677419354839,706.225806451613,31,31,1,1,3,145,3.87,16,4105.5,"minor|NN","category",0.566,0.71,0.518440912,2.458151233,67.47,3.54,4,12,10688,3562.67,"minor|NN"
"NINE","you",566.59375,579.161290322581,32,31,3,0,3,41857.12,6.33,2,882.5,"minor",NA,NA,NA,0.08650445,0.047979681,67.47,3.54,4,12,10688,3562.67,"minor|NN"
"NITROGEN","end",663.620689655172,663.161290322581,29,31,4,0,3,265.86,4.13,1,2789,"NN|VB",NA,NA,NA,0.038859414,0.049138546,8,1.2,1.79,0,13059,1865.57,"NN"
"NITROGEN","oxygen",729.066666666667,630.41935483871,30,31,2,1,6,13.88,2.85,0,1031.8,"NN|JJ","category",0.146,0.73,0.377786187,17.96960763,8,1.2,1.79,0,13059,1865.57,"NN"
"NO","advice",676.40625,778.066666666667,32,30,3,0,6,47.98,3.39,1,1162.6,"NN",NA,NA,NA,0,0.191745156,5971.55,5.48,2,7,799,799,"minor|RB"
"NO","yes",632.818181818182,590.466666666667,33,30,1,1,3,1996.76,5.01,3,2335.5,"minor|NN","antonym",0.761,0.52,0.364206089,0.938010365,5971.55,5.48,2,7,799,799,"minor|RB"
"NOISY","loud",576.290322580645,630.21875,31,32,1,1,4,39.82,3.31,3,1167,"JJ|NN","synonym",0.671,0.64,0.175717043,4.763649273,5.04,2.41,5,1,4135,1033.75,"JJ"
"NOISY","street",663.15625,686.133333333333,32,30,3,0,6,148.18,3.88,0,2403.8,"NN",NA,NA,NA,0.047990145,0.250950365,5.04,2.41,5,1,4135,1033.75,"JJ"
"NOMAD","homeless",745.612903225806,719.09375,31,32,2,1,8,10.65,2.74,1,2194.57,"JJ|NN","synonym",0.02,0.14,0.108623151,0,5,0.53,1.45,0,4747,1186.75,"NN"
"NOMAD","relative",715.242424242424,804.4,33,30,4,0,8,7.78,2.6,0,2861,"JJ|NN",NA,NA,NA,0.02641102,0,5,0.53,1.45,0,4747,1186.75,"NN"
"NONE","zero",625.28125,626.392857142857,32,28,1,1,4,21.45,3.04,2,2936.33,"minor|NN|VB","synonym",0.25,0.02,0.063018464,0.079089609,110.61,3.75,4,13,7680,2560,"NN"
"NONE","full",590.645161290323,723.633333333333,31,30,3,0,4,166.9,3.93,14,1020.33,"JJ|RB",NA,NA,NA,0.023229166,0,110.61,3.75,4,13,7680,2560,"NN"
"NONSENSE","ridiculous",792.903225806452,754.354838709677,31,31,2,1,10,55.61,3.45,0,1577,"JJ","synonym",0.054,0.48,0.147261076,1.956855255,8,28.47,3.16,0,16995,2427.86,"NN"
"NONSENSE","secret",685.5625,784.645161290323,32,31,4,0,6,109.51,3.75,0,2005,"JJ|NN",NA,NA,NA,0.044471704,0.108425603,8,28.47,3.16,0,16995,2427.86,"NN"
"NOON","place",719,631.03125,31,32,3,0,5,602.67,4.49,4,1473,"NN|VB",NA,NA,NA,0.034151891,0.12320385,18.12,2.97,4,8,6331,2110.33,"NN"
"NOON","lunch",625.967741935484,586.5,31,32,1,1,5,104.12,3.73,6,1338,"NN|VB","script",0.2,0.35,0.308206519,2.698520517,18.12,2.97,4,8,6331,2110.33,"NN"
"NORM","average",757.354838709677,618.96875,31,32,1,1,7,16.65,2.93,1,2258.5,"JJ|NN|VB","synonym",0.173,0.29,0.069087483,0.03178577,3.33,2.23,4,3,4136,1378.67,"NN"
"NORM","mirror",722.967741935484,625.21875,31,32,3,0,6,24.18,3.09,0,1531.2,"NN|VB",NA,NA,NA,0.020035381,0.062553097,3.33,2.23,4,3,4136,1378.67,"NN"
"NORMAL","bum",868.88,870.233333333333,25,30,3,0,3,15.43,2.9,11,574,"NN|VB",NA,NA,NA,0.062451032,0.09857991,70.37,3.56,6,2,8880,1776,"JJ|RB"
"NORMAL","abnormal",711.133333333333,762.8,30,30,1,1,8,2.9,2.17,0,1413.571,"JJ","antonym",0.34,0.7,0.218389044,3.087001742,70.37,3.56,6,2,8880,1776,"JJ|RB"
"NORTH","search",688.933333333333,684.533333333333,30,30,3,0,6,48.37,3.39,1,1752,"NN|VB",NA,NA,NA,0.035485263,0.020977269,63.88,3.51,5,2,5879,1469.75,"NN|RB|JJ"
"NORTH","south",624.612903225806,729.548387096774,31,31,1,1,5,64.47,3.52,3,1180.5,"NN|RB|JJ","category",0.772,0.87,0.703394255,1.058247321,63.88,3.51,5,2,5879,1469.75,"NN|RB|JJ"
"NOSE","drug",596.727272727273,582.903225806452,33,31,4,0,4,45.22,3.36,3,459,"NN|VB",NA,NA,NA,0.012277334,0.090990506,4,69.75,3.55,12,3675,1225,"NN|VB"
"NOSE","blow",646.3125,638.46875,32,32,2,1,4,97.57,3.7,8,1111.67,"NN|VB","action",0.034,0.19,0.077627971,0.60384912,4,69.75,3.55,12,3675,1225,"NN|VB"
"NOT","negative",762.806451612903,711.516129032258,31,31,2,1,8,25.65,3.12,0,2150.71,"JJ|NN","unclassified",0.033,0.13,0.063751769,0.150546522,3,5424.96,5.44,15,1704,852,"RB"
"NOT","dad",742.483870967742,578.548387096774,31,31,4,0,3,507.25,4.41,15,792.5,"NN",NA,NA,NA,0.084760816,0.068320516,3,5424.96,5.44,15,1704,852,"RB"
"NOTE","knight",684.40625,661.5,32,30,3,0,6,26.76,3.14,0,650.4,"NN|VB",NA,NA,NA,0.027288344,0,53.55,3.44,4,7,6099,2033,"NN|VB"
"NOTE","letter",688.1875,652.4375,32,32,1,1,6,82.61,3.62,6,3199.8,"NN","category",0.299,0.22,0.320909017,0.14531187,53.55,3.44,4,7,6099,2033,"NN|VB"
"NOTEBOOK","broccoli",867.565217391304,780.931034482759,23,29,4,0,8,2.27,2.07,0,1442.14,"NN",NA,NA,NA,0.038712817,0.075070501,8,4.61,2.37,0,8257,1179.57,"NN"
"NOTEBOOK","folder",611.09375,684.766666666667,32,30,2,1,6,1.63,1.92,7,2196,"NN","category",0.034,0.21,0.060510361,0,8,4.61,2.37,0,8257,1179.57,"NN"
"NOTHING","hat",669.3125,565.851851851852,32,27,3,0,3,64.18,3.52,20,2663,"NN",NA,NA,NA,0.073689327,0.200073494,853.61,4.64,7,0,14927,2487.83,"NN"
"NOTHING","something",671.625,627.935483870968,32,31,1,1,9,1500.16,4.88,0,2289.63,"NN","antonym",0.163,0.62,0.659656484,0.505609352,853.61,4.64,7,0,14927,2487.83,"NN"
"NOTICE","see",584.733333333333,674.433333333333,30,30,1,1,3,2556.73,5.12,14,1450.5,"VB","synonym",0.127,0.56,0.51285497,0.064144069,59.25,3.48,6,1,10405,2081,"NN|VB"
"NOTICE","string",727.65625,831.096774193548,32,31,3,0,6,12.67,2.81,3,3788.2,"NN|VB",NA,NA,NA,0.141411845,0.183479842,59.25,3.48,6,1,10405,2081,"NN|VB"
"NOTIFY","alert",620.151515151515,594.645161290323,33,31,2,1,5,20.61,3.02,1,3411.25,"JJ|NN|VB","synonym",0.032,0.36,0.169170079,1.631330627,6,7.2,2.57,0,7098,1419.6,"VB"
"NOTIFY","english",598.363636363636,710.607142857143,33,28,4,0,7,74.06,3.58,0,2495.5,"JJ|NN",NA,NA,NA,0.068387258,0.055595362,6,7.2,2.57,0,7098,1419.6,"VB"
"NOUN","never",677.90625,705.78125,32,32,3,0,5,1362.55,4.84,4,2704.5,"RB|NN",NA,NA,NA,0.137014583,0.056407165,0.53,1.45,4,1,4330,1443.33,"NN"
"NOUN","verb",629.1875,616.096774193548,32,31,1,1,4,1.06,1.74,3,2778.33,"NN","category",0.69,0.7,0.275217983,29.04910143,0.53,1.45,4,1,4330,1443.33,"NN"
"NOVEL","read",650.41935483871,541.766666666667,31,30,2,1,4,241.22,4.09,12,2469.33,"VB|NN","unclassified",0.074,0.29,0.221610136,0.22689557,5,10.06,2.71,2,4975,1243.75,"NN"
"NOVEL","part",646.933333333333,628.838709677419,30,31,4,0,4,261.51,4.13,14,1688.67,"NN|VB",NA,NA,NA,0.016700577,0,5,10.06,2.71,2,4975,1243.75,"NN"
"NOVICE","beginner",740.363636363636,663.290322580645,33,31,1,1,8,1.94,2,0,2509.71,"NN","synonym",0.283,0.18,0.038339897,9.361119946,0.8,1.62,6,1,6031,1206.2,"NN"
"NOVICE","lady",621.322580645161,628.548387096774,31,31,3,0,4,217.08,4.04,3,1073.33,"NN",NA,NA,NA,0.030444821,0.065990614,0.8,1.62,6,1,6031,1206.2,"NN"
"NOW","later",704.096774193548,705.40625,31,32,1,1,5,291.94,4.17,7,4189.25,"RB|JJ","antonym",0.576,0.44,0,0.070287444,3202.61,5.21,3,15,1485,742.5,"RB|JJ|NN"
"NOW","account",654.875,783.344827586207,32,29,3,0,7,44.71,3.36,0,1785,"NN|VB",NA,NA,NA,0.032285028,0.054395949,3202.61,5.21,3,15,1485,742.5,"RB|JJ|NN"
"NUCLEAR","bomb",761.806451612903,581.8125,31,32,2,1,4,53.65,3.44,4,803.67,"NN|VB","fpa",0.205,0.8,0.034469344,1.838798984,7,18.98,2.99,0,9490,1581.67,"JJ|NN"
"NUCLEAR","chance",695.633333333333,831.333333333333,30,30,4,0,6,241.24,4.09,2,1835,"NN|VB",NA,NA,NA,0.06953517,0.041113705,7,18.98,2.99,0,9490,1581.67,"JJ|NN"
"NUMBER","pencil",717.939393939394,622.59375,33,32,3,0,6,9.86,2.7,0,1859,"NN|VB",NA,NA,NA,0.018479828,0.010963389,240.94,4.09,6,1,8351,1670.2,"NN|VB"
"NUMBER","one",540.15625,612.870967741935,32,31,1,1,3,3072.24,5.2,3,3440.5,"minor|NN","supraordinate",0.345,0.38,0.225628871,0.132495018,240.94,4.09,6,1,8351,1670.2,"NN|VB"
"NUMBERS","add",584.09375,699.8125,32,32,2,1,3,33.06,3.23,6,628.5,"VB","functional property",0.014,0.19,0.154448839,0.149847327,7,39.61,3.31,0,9820,1636.67,"NN|VB"
"NUMBERS","cook",586.75,677.5,32,32,4,0,4,45.57,3.37,11,1209.33,"NN|VB",NA,NA,NA,0.059152521,0.026380614,7,39.61,3.31,0,9820,1636.67,"NN|VB"
"NUN","tax",657.870967741935,695.129032258065,31,31,4,0,3,14.55,2.87,13,985.5,"NN|VB",NA,NA,NA,0.022669414,0,3,6.96,2.55,10,2127,1063.5,"NN"
"NUN","father",605.033333333333,744.032258064516,30,31,2,1,6,554.49,4.45,4,2768.6,"NN|VB","script",0.034,0.08,0.096919721,0.288965343,3,6.96,2.55,10,2127,1063.5,"NN"
"NURSE","high",608.15625,636.866666666667,32,30,4,0,4,195,4,3,793,"JJ|RB|NN",NA,NA,NA,0.066668079,0.047496186,5,44.98,3.36,3,5125,1281.25,"NN|VB"
"NURSE","patient",658.25,691.875,32,32,2,1,7,63.65,3.51,0,3023.83,"JJ","script",0.014,0.83,0.346266208,1.623859814,5,44.98,3.36,3,5125,1281.25,"NN|VB"
"NUT","cracker",614.451612903226,674.548387096774,31,31,2,1,7,5.76,2.47,2,2228.67,"NN","fpa",0.062,0.04,0.071214939,4.075698156,3,15.63,2.9,11,1213,606.5,"NN"
"NUT","motorcycle",870.65625,728.15625,32,32,4,0,10,8.92,2.66,0,1185.89,"NN",NA,NA,NA,0.051881548,0.063890966,3,15.63,2.9,11,1213,606.5,"NN"
"NUTS","crazy",599.272727272727,592.677419354839,33,31,1,1,5,272.27,4.14,1,1009.25,"JJ","synonym",0.179,0.1,0.088059003,0.778297775,53.51,3.44,4,8,2219,739.67,"NN"
"NUTS","news",630.424242424242,713.193548387097,33,31,3,0,4,164.69,3.92,4,898.67,"NN",NA,NA,NA,0.06418906,0.070517747,53.51,3.44,4,8,2219,739.67,"NN"
"NYLON","hose",687.451612903226,730.357142857143,31,28,1,1,4,8.06,2.61,11,1356.67,"NN","unclassified",0.272,0.17,0.032190796,4.68915186,1.35,1.85,5,0,6325,1581.25,"NN"
"NYLON","medicine",753.548387096774,688.5625,31,32,3,0,8,34.2,3.24,0,2935.86,"NN",NA,NA,NA,0,0.418288339,1.35,1.85,5,0,6325,1581.25,"NN"
"OASIS","move",671.96875,625.71875,32,32,4,0,4,418.14,4.33,9,1135.33,"VB|NN",NA,NA,NA,0.119348241,0.025262837,5,1.92,2,2,6329,1582.25,"NN"
"OASIS","thirsty",702.15625,777.612903225806,32,31,2,1,7,12.29,2.8,0,1492.33,"JJ","unclassified",0.014,0.25,0.015709651,0.64632927,5,1.92,2,2,6329,1582.25,"NN"
"OATH","can't",680.9375,763.5,32,32,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0.030892176,0.019502043,9.88,2.7,4,6,5924,1974.67,"NN"
"OATH","promise",633.129032258065,700.3125,31,32,1,1,7,153.12,3.89,1,1811,"NN|VB","synonym",0.218,0.31,0.062015249,1.079579729,9.88,2.7,4,6,5924,1974.67,"NN"
"OBJECT","subject",632.625,556.096774193548,32,31,2,1,7,36.96,3.28,0,642.17,"NN|JJ","unclassified",0.054,0.13,0.264203299,0.476451657,6,25.76,3.12,1,2975,595,"NN"
"OBJECT","backward",675.258064516129,707.967741935484,31,31,4,0,8,3.12,2.2,1,1067.43,"RB|JJ|NN",NA,NA,NA,0.100652527,0.09423126,6,25.76,3.12,1,2975,595,"NN"
"OBJECTIVE","course",607.258064516129,660.515151515152,31,33,2,1,6,487.22,4.4,1,1800.4,"NN|VB","bpa",0.026,0.28,0.179843073,0.156704745,9,7.04,2.56,0,10526,1315.75,"NN|JJ"
"OBJECTIVE","green",623.393939393939,626.933333333333,33,30,4,0,5,72.47,3.57,4,2494,"JJ|NN|VB",NA,NA,NA,0.082740133,0.06505013,9,7.04,2.56,0,10526,1315.75,"NN|JJ"
"OBLIGATION","duty",673.193548387097,739.793103448276,31,29,1,1,4,50.96,3.42,1,667.67,"NN","synonym",0.137,0.43,0.292794999,1.09191052,6.75,2.54,10,0,21791,2421.22,"NN"
"OBLIGATION","school",595.727272727273,704.806451612903,33,31,3,0,6,333.12,4.23,0,1162.4,"NN|VB",NA,NA,NA,0.006841335,0,6.75,2.54,10,0,21791,2421.22,"NN"
"OBNOXIOUS","irritating",701.142857142857,795.290322580645,28,31,2,1,10,2.18,2.05,1,3122.44,"JJ|VB","synonym",0.026,0.05,0,5.889253761,9,3.51,2.26,0,7059,882.38,"JJ"
"OBNOXIOUS","teacher",625.290322580645,760.034482758621,31,29,4,0,7,55.73,3.45,1,2850.33,"NN",NA,NA,NA,0.010827131,0.042597902,9,3.51,2.26,0,7059,882.38,"JJ"
"OBOE","flute",790,688.25,31,32,2,1,5,2.12,2.04,2,1597.75,"NN","category",0.118,0.26,0.606128125,91.06894726,4,0.35,1.28,0,1269,423,"NN"
"OBOE","separate",832.931034482759,881.8125,29,32,4,0,8,21.71,3.04,0,2636.29,"JJ",NA,NA,NA,0.142204011,0.035733749,4,0.35,1.28,0,1269,423,"NN"
"OBSCURE","assistant",916.258064516129,808.741935483871,31,31,4,0,9,32.22,3.22,0,2427.88,"NN",NA,NA,NA,0.037691436,0.025593228,7,2.59,2.12,0,8013,1335.5,"JJ|VB|NN"
"OBSCURE","unclear",811.966666666667,840.032258064516,30,31,2,1,7,1.47,1.88,1,2004.5,"JJ","synonym",0.035,0.19,0.10388461,0.396339104,7,2.59,2.12,0,8013,1335.5,"JJ|VB|NN"
"OBSERVE","deaf",727.833333333333,768.518518518518,24,27,3,0,4,14.53,2.87,5,1549.33,"JJ|NN",NA,NA,NA,0.050463898,0.085464905,9.78,2.7,7,0,10894,1815.67,"VB|NN"
"OBSERVE","watch",587.066666666667,626.6875,30,32,1,1,5,330.02,4.23,7,1650.25,"VB|NN","synonym",0.5,0.31,0.335833222,0.208084939,9.78,2.7,7,0,10894,1815.67,"VB|NN"
"OBSESSION","perfume",703.51724137931,690,29,31,1,1,7,11.43,2.77,0,1789.83,"NN","supraordinate",0.136,0.11,0.003260253,3.328514384,5.67,2.46,9,0,17486,2185.75,"NN"
"OBSESSION","id",987.625,986.222222222222,8,9,3,0,2,3.31,2.23,6,861,"NN",NA,NA,NA,0.043724624,0.108866062,5.67,2.46,9,0,17486,2185.75,"NN"
